Name,CASRN,Acronym,Formula,Molar mass,Lifetime (yr),RE (W m-2 ppb-1),AGWP 20-yr,GWP 20-yr,AGWP 100-yr,GWP 100-yr,AGWP 500-yr,GWP 500-yr,AGTP 20-yr,GTP 20-yr,AGTP 50-yr,GTP 50-yr,AGTP 100-yr,GTP 100-yr,Column1
Chlorofluorocarbons,,,,,,,,,,,,,,,,,,,
Trichlorofluoromethane,75-69-4,CFC-11,CCl3F,0.13736,52,0.25941,1.76888E-10,7724,4.73036E-10,5866,5.53971E-10,2056,4.29314E-12,7931,2.74494E-12,6021,1.41584E-12,3415,
Dichlorodifluoromethane,75-71-8,CFC-12,CCl2F2,0.12091,102,0.31998,2.7114E-10,11840,9.51509E-10,11799,1.5115E-09,5611,6.96229E-12,12862,5.72775E-12,12564,4.14506E-12,9998,
Chlorotrifluoromethane,75-72-9,CFC-13,CClF3,0.10446,640,0.27752,2.95122E-10,12887,1.38756E-09,17207,5.20058E-09,19304,7.95175E-12,14690,8.2048E-12,17997,8.37148E-12,20192,
1:2-Difluoro-1:1:2:2-tetrachloroethane,76-12-0,CFC-112,CCl2FCCl2F,0.20382,63.6,0.28192,1.33907E-10,5847,3.93272E-10,4877,4.96089E-10,1841,3.31938E-12,6132,2.32871E-12,5108,1.35107E-12,3259,
2:2-Difluoro-1:2:2:2-tetrachloroethane,76-11-9,CFC-112a,CCl3CClF2,0.20382,52,0.24564,1.12884E-10,4929,3.01877E-10,3744,3.53527E-10,1312,2.73975E-12,5061,1.75174E-12,3842,9.03548E-13,2179,
1:1:2-Trichloro-1:2:2-trifluoroethane,76-13-1,CFC-113,CCl2FCClF2,0.18737,93,0.30142,1.63317E-10,7132,5.56027E-10,6895,8.40104E-10,3118,4.17016E-12,7704,3.34354E-12,7334,2.33153E-12,5624,
1:1:1-Trichloro-2:2:2-trifluoroethane,354-58-5,CFC-113a,CCl3CF3,0.18737,55,0.24094,1.21635E-10,5312,3.34227E-10,4145,3.98946E-10,1481,2.9709E-12,5488,1.95272E-12,4283,1.04206E-12,2513,
1:2-Dichloro-1:1:2:2-tetrafluoroethane,76-14-2,CFC-114,CClF2CClF2,0.17092,189,0.31433,1.96894E-10,8598,8.05639E-10,9991,1.82167E-09,6762,5.19155E-12,9591,4.83202E-12,10599,4.20254E-12,10136,
1:1-Dichloro-1:2:2:2-tetrafluoroethane,374-07-2,CFC-114a,CCl2FCF3,0.17092,105,0.29747,1.78798E-10,7808,6.33171E-10,7852,1.02211E-09,3794,4.59873E-12,8496,3.81221E-12,8362,2.78951E-12,6728,
1-Chloro-1:1:2:2:2-pentafluoroethane,76-15-3,CFC-115,CClF2CF3,0.15447,540,0.24625,1.76579E-10,7711,8.20986E-10,10181,2.93251E-09,10885,4.7498E-12,8775,4.86174E-12,10664,4.89835E-12,11815,
(E)-1:2-Dichlorohexafluorocyclobutane,3832-15-3,E-R316c,trans cyc (-CClFCF2CF2CClF-),0.23294,75,0.26963,1.14637E-10,5006,3.60654E-10,4472,4.89128E-10,1816,2.88261E-12,5325,2.15579E-12,4729,1.36323E-12,3288,
(Z)-1:2-Dichlorohexafluorocyclobutane,3934-26-7,Z-R316c,cis cyc (-CClFCF2CF2CClF-),0.23294,114,0.29969,1.33142E-10,5814,4.83259E-10,5993,8.17124E-10,3033,3.43967E-12,6354,2.91034E-12,6384,2.1943E-12,5293,
1:2-dichloro-1:2-difluoroethene,598-88-9,CFC 1112,CClF=CClF,0.13292,0.0194,0.01296,1.06507E-14,0,1.06507E-14,0,1.06507E-14,0,2.47496E-17,0,1.27977E-17,0,1.04638E-17,0,
1:1-dichloro-2:2-difluoroethene,79-35-6,CFC 1112a,CCl2=CF2,0.13292,0.0063,0.00665,1.77832E-15,0,1.77832E-15,0,1.77832E-15,0,4.12675E-18,0,2.13668E-18,0,1.74703E-18,0,
1:1:2-trichloro-2-fluoroethene,359-29-5,,CCl2=CClF,,,0.12958,,,,,,,,,,,,,
Chlorotrifluoroethylene,79-38-9,,CF2=CClF,,,0.11429,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Hydrochlorofluorocarbons,,,,,,,,,,,,,,,,,,,
Dichlorofluoromethane,75-43-4,HCFC-21,CHCl2F,0.10292,1.7,0.14509,1.35198E-11,590,1.35199E-11,168,1.35199E-11,50,4.06927E-14,75,1.63616E-14,36,1.33729E-14,32,
Chlorodifluoromethane,75-45-6,HCFC-22,CHClF2,0.08647,11.9,0.21385,1.35108E-10,5900,1.65994E-10,2058,1.66031E-10,616,2.16389E-12,3998,3.71039E-13,814,1.73713E-13,419,
Chlorofluoromethane,593-70-4,HCFC-31,CH2ClF,0.06848,1.2,0.068,6.72229E-12,294,6.72229E-12,83,6.72229E-12,25,1.83163E-14,34,8.1176E-15,18,6.63581E-15,16,
1:1:2:2-Tetrachloro-1-fluoroethane,354-14-3,HCFC-121,CHCl2CCl2F,0.18583,1.11,0.14641,4.93373E-12,215,4.93373E-12,61,4.93373E-12,18,1.32381E-14,24,5.9555E-15,13,4.86849E-15,12,
1:1:2-Trichloro-2:2-difluoroethane,354-21-2,HCFC-122,CHCl2CClF2,0.16938,0.9,0.15931,4.77557E-12,209,4.77557E-12,59,4.77557E-12,18,1.23938E-14,23,5.75944E-15,13,4.70844E-15,11,
1:1:2-Trichloro-1:2-difluoroethane,354-15-4,HCFC-122a,CHClFCCl2F,0.16938,3.1,0.20094,2.07147E-11,905,2.07474E-11,257,2.07474E-11,77,9.34442E-14,173,2.52819E-14,55,2.06387E-14,50,
2:2-Dichloro-1:1:1-trifluoroethane,306-83-2,HCFC-123,CHCl2CF3,0.15293,1.3,0.15958,7.65282E-12,334,7.65282E-12,95,7.65282E-12,28,2.12284E-14,39,9.24524E-15,20,7.55741E-15,18,
1:2-Dichloro-1:1:2-trifluoroethane,354-23-4,HCFC-123a,CHClFCClF2,0.15293,4,0.22653,3.32013E-11,1450,3.34265E-11,415,3.34265E-11,124,1.97435E-13,365,4.10258E-14,90,3.33736E-14,80,
2-Chloro-1:1:1:2-tetrafluoroethane,2837-89-0,HCFC-124,CHClFCF3,0.13648,5.9,0.20721,4.88307E-11,2132,5.05345E-11,627,5.05345E-11,188,4.48251E-13,828,6.51111E-14,143,5.08494E-14,123,
1-Chloro-1:1:2:2-tetrafluoroethane,354-25-6,HCFC-124a,CHF2CClF2,0.13648,17,0.24994,1.21475E-10,5305,1.75144E-10,2172,1.75634E-10,652,2.29723E-12,4244,5.85194E-13,1284,2.04131E-13,492,
1:2-Dichloro-1:2-difluoroethane,431-06-1,HCFC-132,CHClFCHClF,0.13494,1.73,0.14315,1.03538E-11,452,1.03539E-11,128,1.03539E-11,38,3.1377E-14,58,1.25318E-14,27,1.02426E-14,25,
1:1-Dichloro-2:2-difluoroethane,471-43-2,HCFC-132a,CHCl2CHF2,0.13494,1.12,0.12722,5.95713E-12,260,5.95713E-12,74,5.95713E-12,22,1.60108E-14,30,7.19115E-15,16,5.8786E-15,14,
1:1-Dichloro-1:2-difluoroethane,1842-05-3,HCFC-132c,CH2FCCl2F,0.13494,4.1,0.16891,2.87322E-11,1255,2.89526E-11,359,2.89526E-11,107,,,,,,,
2-Chloro-1:1:1-trifluoroethane,75-88-7,HCFC-133a,CH2ClCF3,0.11849,4.6,0.14995,3.24167E-11,1416,3.28415E-11,407,3.28415E-11,122,2.26322E-13,418,4.06556E-14,89,3.287E-14,79,
1:2-Dichloro-1-difluoroethane,430-57-9,HCFC-141,CH2ClCHClF,0.11695,1.14,0.07167,3.9413E-12,172,3.9413E-12,49,3.9413E-12,15,1.06287E-14,20,4.75815E-15,10,3.88966E-15,9,
1:1-Dichloro-1-fluoroethane,1717-00-6,HCFC-141b,CH3CCl2F,0.11695,9.4,0.16065,6.41668E-11,2802,7.28419E-11,903,7.28437E-11,270,8.85445E-13,1636,1.25289E-13,275,7.4536E-14,180,
1-Chloro-1:1-difluoroethane,75-68-3,HCFC-142b,CH3CClF2,0.1005,18,0.19329,1.3101E-10,5721,1.94547E-10,2413,1.95302E-10,725,2.53072E-12,4675,6.87389E-13,1508,2.33834E-13,564,
3:3-Dichloro-1:1:1:2:2-pentafluoropropane,422-56-0,HCFC-225ca,CHCl2CF2CF3,0.20294,1.9,0.21895,1.1564E-11,505,1.15644E-11,143,1.15644E-11,43,3.64978E-14,67,1.40076E-14,31,1.14479E-14,28,
1:3-Dichloro-1:1:2:2:3-pentafluoropropane,507-55-1,HCFC-225cb,CHClFCF2CClF2,0.20294,5.9,0.2929,4.64189E-11,2027,4.80385E-11,596,4.80385E-11,178,4.26111E-13,787,6.18952E-14,136,4.83379E-14,117,
(E)-1-Chloro-3:3:3-trifluoroprop-1-ene,102687-65-0,HCFO-1233zd(E),(E)-CF3CH=CHCl,0.1305,0.1164,0.06529,3.28651E-13,14,3.28651E-13,4,3.28651E-13,1,7.71638E-16,1,3.9506E-16,1,3.23011E-16,1,
(Z)-1-Chloro-3:3:3-trifluoroprop-1-ene,99728-16-2,HCFO-1233zd(Z),(Z)-CF3CH=CHCl,0.1305,0.0356,0.02497,3.84425E-14,2,3.84425E-14,0,3.84425E-14,0,8.94832E-17,0,4.61949E-17,0,3.77705E-17,0,
(E/Z)-1-chloro-2-fluoro-ethene,460-16-2,,(E/Z)-CHCl=CHF,0.08049,0.0049,0.0009,3.09092E-16,0,3.09092E-16,0,3.09092E-16,0,7.1717E-19,0,3.71377E-19,0,3.03651E-19,0,
,,,,,,,,,,,,,,,,,,,
Hydrofluorocarbons,,,,,,,,,,,,,,,,,,,
Trifluoromethane,75-46-7,HFC-23,CHF3,0.07002,228,0.19111,2.94828E-10,12875,1.24647E-09,15457,3.11889E-09,11577,7.8149E-12,14437,7.45735E-12,16357,6.73825E-12,16252,
Difluoromethane,75-10-5,HFC-32,CH2F2,0.05203,5.4,0.11144,6.36406E-11,2779,6.52478E-11,809,6.52478E-11,242,5.31715E-13,982,8.2431E-14,181,6.55191E-14,158,
Fluoromethane,593-53-3,HFC-41,CH3F,0.03404,2.8,0.02466,1.14337E-11,499,1.14428E-11,142,1.14428E-11,42,4.68551E-14,87,1.39203E-14,31,1.1369E-14,27,
1:1:1:2:2-Pentafluoroethane,354-33-6,HFC-125,CHF2CF3,0.12003,30,0.23378,1.60391E-10,7004,3.17868E-10,3942,3.29627E-10,1224,3.56939E-12,6594,1.59487E-12,3498,5.84412E-13,1410,
1:1:2:2-Tetrafluoroethane,359-35-3,HFC-134,CHF2CHF2,0.10204,10,0.19351,9.2506E-11,4040,1.0698E-10,1327,1.06985E-10,397,1.332E-12,2461,1.96169E-13,430,1.09917E-13,265,
1:1:1:2-Tetrafluoroethane,811-97-2,HFC-134a,CH2FCF3,0.10204,14,0.16714,9.83661E-11,4295,1.29267E-10,1603,1.2937E-10,480,1.71268E-12,3164,3.49781E-13,767,1.39868E-13,337,
1:1:2-Trifluoroethane,430-66-0,HFC-143,CH2FCHF2,0.08405,3.6,0.12756,3.07038E-11,1341,3.08229E-11,382,3.08229E-11,114,1.6215E-13,300,3.76886E-14,83,3.0724E-14,74,
1:1:1-Trifluoroethane,420-46-2,HFC-143a,CH3CF3,0.08405,51,0.168,1.86562E-10,8147,4.94152E-10,6128,5.75064E-10,2135,4.51762E-12,8346,2.86001E-12,6273,1.45764E-12,3516,
1:2-Difluoroethane,624-72-6,HFC-152,CH2FCH2F,0.06606,0.4712,0.0453,1.82315E-12,80,1.82315E-12,23,1.82315E-12,7,4.46103E-15,8,2.19479E-15,5,1.79442E-15,4,
1:1-Difluoroethane,75-37-6,HFC-152a,CH3CHF2,0.06606,1.6,0.10174,1.39018E-11,607,1.39018E-11,172,1.39018E-11,52,4.09312E-14,76,1.68165E-14,37,1.37451E-14,33,
Fluoroethane,353-36-6,HFC-161,CH3CH2F,0.04807,0.2192,0.01592,4.09471E-13,18,4.09471E-13,5,4.09471E-13,2,9.72383E-16,2,4.9242E-16,1,4.02609E-16,1,
1:1:1:2:2:3:3-Heptafluoropropane,2252-84-8,HFC-227ca,CF3CF2CHF2,0.17004,30,0.2637,1.27709E-10,5577,2.53098E-10,3139,2.62461E-10,974,2.84209E-12,5250,1.2699E-12,2785,4.65331E-13,1122,
1:1:1:2:3:3:3-Heptafluoropropane,431-89-0,HFC-227ea,CF3CHFCF3,0.17004,36,0.27325,1.39113E-10,6075,3.06075E-10,3796,3.26367E-10,1211,3.20449E-12,5920,1.64377E-12,3606,6.70447E-13,1617,
1:1:1:2:2:3-Hexafluoropropane,677-56-5,HFC-236cb,CH2FCF2CF3,0.15205,13.4,0.23075,8.8935E-11,3884,1.1466E-10,1422,1.14725E-10,426,1.5161E-12,2801,2.94858E-13,647,1.22691E-13,296,
1:1:1:2:3:3-Hexafluoropropane,431-63-0,HFC-236ea,CHF2CHFCF3,0.15205,11.4,0.3,1.04937E-10,4582,1.26871E-10,1573,1.26891E-10,471,1.63994E-12,3030,2.69643E-13,591,1.32005E-13,318,
1:1:1:3:3:3-Hexafluoropropane,690-39-1,HFC-236fa,CF3CH2CF3,0.15205,213,0.25069,1.77561E-10,7754,7.42305E-10,9205,1.79176E-09,6651,4.69809E-12,8679,4.44512E-12,9750,3.96432E-12,9562,
1:1:2:2:3-Pentafluoropropane,679-86-7,HFC-245ca,CH2FCF2CHF2,0.13406,6.6,0.24,6.34376E-11,2770,6.66572E-11,827,6.66572E-11,247,6.51492E-13,1204,8.92047E-14,196,6.72691E-14,162,
1:1:1:2:2-Pentafluoropropane,1814-88-6,HFC-245cb,CF3CF2CH3,0.13406,39.9,0.25057,1.65861E-10,7243,3.86404E-10,4792,4.20722E-10,1562,3.88501E-12,7177,2.13523E-12,4684,9.30196E-13,2244,
1:1:2:3:3-Pentafluoropropane,24270-66-4,HFC-245ea,CHF2CHFCHF2,0.13406,3.2,0.16,2.15042E-11,939,2.15458E-11,267,2.15458E-11,80,1.00161E-13,185,2.62707E-14,58,2.14416E-14,52,
1:1:1:2:3-Pentafluoropropane,431-31-2,HFC-245eb,CH2FCHFCF3,0.13406,3.2,0.204,2.74178E-11,1197,2.74708E-11,341,2.74708E-11,102,1.27705E-13,236,3.34952E-14,73,2.73381E-14,66,
1:1:1:3:3-Pentafluoropropane,460-73-1,HFC-245fa,CHF2CH2CF3,0.13406,7.9,0.24498,7.49658E-11,3274,8.14425E-11,1010,8.14428E-11,302,9.04832E-13,1672,1.20587E-13,265,8.26642E-14,199,
1:1:1-Trifluoropropane,421-07-8,HFC-263fb,CH3CH2CF3,0.09808,1.1,0.1,6.32708E-12,276,6.32708E-12,78,6.32708E-12,23,1.69484E-14,31,7.63708E-15,17,6.24316E-15,15,
2:2-Difluoropropane,420-45-1,HFC-272ca,CH3CF2CH3,0.08009,9,0.07999,4.52135E-11,1974,5.07079E-11,629,5.07087E-11,188,6.04573E-13,1117,8.36345E-14,183,5.17624E-14,125,
1:1:1:2:2:3:3:4:4-Nonafluorobutane,375-17-7 ,HFC-329p,CHF2CF2CF2CF3,0.22005,32,0.31287,1.19286E-10,5209,2.45397E-10,3043,2.56674E-10,953,2.68932E-12,4968,1.26482E-12,2774,4.80324E-13,1159,
1:1:1:3:3-Pentafluorobutane,406-58-6,HFC-365mfc,CH3CF2CH2CF3,0.14809,8.9,0.22813,6.91707E-11,3021,7.73448E-11,959,7.73459E-11,287,9.17271E-13,1695,1.26256E-13,277,7.89083E-14,190,
1:1:1:2:2:3:4:5:5:5-Decafluoropentane,138495-42-8,HFC-43-10mee,CF3CHFCHFCF2CF3,0.25207,17,0.35731,9.40255E-11,4106,1.35568E-10,1681,1.35947E-10,505,1.77814E-12,3285,4.5296E-13,994,1.58005E-13,381,
trifluoroethylene,359-11-5,HFO-1123,CHF=CF2,0.08203,0.0038,0.00153,4.03594E-16,0,4.03594E-16,0,4.03594E-16,0,9.36335E-19,0,4.8492E-19,0,3.96488E-19,0,
1:1-Difluoroethene,75-38-7,HFO-1132a,CH2=CF2,0.06404,0.0126,0.004,4.44084E-15,0,4.44084E-15,0,4.44084E-15,0,1.03121E-17,0,5.33587E-18,0,4.3628E-18,0,
Fluoroethene,75-02-5,HFO-1141,CH2=CHF,0.04605,0.0068,0.00247,2.07434E-15,0,2.07434E-15,0,2.07434E-15,0,4.81397E-18,0,2.49236E-18,0,2.03784E-18,0,
(Z)-1:2:3:3:3-Pentafluoroprop-1-ene,5528-43-8,HFO-1225ye(Z),(Z)-CF3CF=CHF,0.13204,0.0274,0.02489,2.91294E-14,1,2.91294E-14,0,2.91294E-14,0,6.77464E-17,0,3.50025E-17,0,2.86192E-17,0,
(E)-1:2:3:3:3-Pentafluoroprop-1-ene, 5595-10-8,HFO-1225ye(E),(E)-CF3CF=CHF,0.13204,0.0156,0.01502,1.00184E-14,0,1.00184E-14,0,1.00184E-14,0,2.32712E-17,0,1.20377E-17,0,9.84248E-18,0,
(Z)-1:3:3:3-Tetrafluoroprop-1-ene,29118-25-0,HFO-1234ze(Z),(Z)-CF3CH=CHF,0.11405,0.0274,0.01965,2.66288E-14,1,2.66288E-14,0,2.66288E-14,0,6.19308E-17,0,3.19977E-17,0,2.61625E-17,0,
(E)-1:3:3:3-Tetrafluoroprop-1-ene,29188-24-9,HFO-1234ze(E),(E)-CF3CH=CHF,0.11405,0.0521,0.04502,1.15908E-13,5,1.15908E-13,1,1.15908E-13,0,2.70269E-16,0,1.39292E-16,0,1.13889E-16,0,
2:3:3:3-Tetrafluoroprop-1-ene,754-12-1,HFO-1234yf,CF3CF=CH2,0.11405,0.0329,0.02608,4.24123E-14,2,4.24123E-14,1,4.24123E-14,0,9.86953E-17,0,5.09647E-17,0,4.16704E-17,0,
(E)-1:1:1:4:4:4-Hexafluorobut-2-ene,,HFO-1336mzz(E),(E)-CF3CH=CHCF3,0.16406,0.3342,0.1315,1.51141E-12,66,1.51141E-12,19,1.51141E-12,6,3.63719E-15,7,1.81845E-15,4,1.48677E-15,4,
(Z)-1:1:1:4:4:4-Hexafluorobut-2-ene,692-49-9,HFO-1336mzz(Z),(Z)-CF3CH=CHCF3,0.16406,0.074,0.069,1.75513E-13,8,1.75513E-13,2,1.75513E-13,1,4.10207E-16,1,2.1094E-16,0,1.72471E-16,0,
3:3:3-Trifluoroprop-1-ene,677-21-4,HFO-1243zf,CF3CH=CH2,0.09606,0.0247,0.01523,2.20498E-14,1,2.20498E-14,0,2.20498E-14,0,5.12666E-17,0,2.64952E-17,0,2.16634E-17,0,
3:3:4:4:4-Pentafluorobut-1-ene,374-27-6,HFC-1345zfc,CF3CF2CH=CH2,0.14607,0.0247,0.01615,1.53832E-14,1,1.53832E-14,0,1.53832E-14,0,3.57665E-17,0,1.84845E-17,0,1.51136E-17,0,
3:3:4:4:5:5:6:6:6-Nonafluorohex-1-ene,19430-93-4,,n-C4F9CH=CH2,0.24609,0.0247,0.03044,1.72058E-14,1,1.72058E-14,0,1.72058E-14,0,4.0004E-17,0,2.06745E-17,0,1.69042E-17,0,
3:3:4:4:5:5:6:6:7:7:8:8:8-Tridecafluorooct-1-ene,25291-17-2,,n-C6F13CH=CH2,0.34611,0.0247,0.03409,1.3703E-14,1,1.3703E-14,0,1.3703E-14,0,3.18601E-17,0,1.64657E-17,0,1.34629E-17,0,
3:3:4:4:5:5:6:6:7:7:8:8:9:9:10:10:10-Heptadecafluorodec-1-ene,21652-58-4,,n-C8F17CH=CH2,0.44613,0.0247,0.0382,1.19111E-14,1,1.19111E-14,0,1.19111E-14,0,2.76938E-17,0,1.43125E-17,0,1.17024E-17,0,
1-Propene: 3:3:3-trifluoro-2-(trifluoromethyl)-,382-10-5,,(CF3)2C=CH2,0.16406,0.0282,0.0329,3.1929E-14,1,3.1929E-14,0,3.1929E-14,0,7.42639E-17,0,3.83667E-17,0,3.13699E-17,0,
1:1:2:2:3:3-hexafluorocyclopentane,123768-18-3,,cyc (-CF2CF2CF2CH2CH2-),0.17809,1.6,0.2,1.01368E-11,443,1.01368E-11,126,1.01368E-11,38,2.98459E-14,55,1.22621E-14,27,1.00226E-14,24,
1:1:2:2:3:3:4-heptafluorocyclopentane,15290-77-4,,cyc (-CF2CF2CF2CHFCH2-),0.19608,2.8,0.243,1.95604E-11,854,1.95759E-11,243,1.95759E-11,73,8.0158E-14,148,2.38144E-14,52,1.94497E-14,47,
1:3:3:4:4:5:5-heptafluorocyclopentene,1892-03-1,,cyc (-CF2CF2CF2CF=CH-),0.19406,0.61,0.215,3.81262E-12,166,3.81262E-12,47,3.81262E-12,14,9.49711E-15,18,4.59247E-15,10,3.75463E-15,9,
(4R:5R)-1:1:2:2:3:3:4:5-octafluorocyclopentane,158389-18-5,,trans-cyc (-CF2CF2CF2CHFCHF-),0.21407,3.2,0.259,2.17995E-11,952,2.18416E-11,271,2.18416E-11,81,1.01537E-13,188,2.66315E-14,58,2.17361E-14,52,
1-Butene: 1:3:4:4:4-pentafluoro-3-(trifluoromethyl)-: (1E)-,14149-41-8,HFO-1438ezy(E),(E)-(CF3)2CFCH=CHF,0.21407,0.3342,0.079,6.95872E-13,30,6.95872E-13,9,6.95872E-13,3,1.67461E-15,3,8.37242E-16,2,6.84528E-16,2,
1-Pentene: 3:3:4:4:5:5:5-heptafluoro-,355-08-8,HFO-1447fz,CF3(CF2)2CH=CH2,0.19608,0.0247,0.028,1.98639E-14,1,1.98639E-14,0,1.98639E-14,0,4.61844E-17,0,2.38686E-17,0,1.95158E-17,0,
1:3:3:4:4-pentafluorocyclobutene,374-31-2,,cyc (-CH=CFCF2CF2-),0.14405,0.7397,0.27,7.8219E-12,342,7.8219E-12,97,7.8219E-12,29,1.98318E-14,37,9.42698E-15,21,7.70696E-15,19,
3:3:4:4-tetrafluorocyclobutene,2714-38-7,,cyc (-CH=CHCF2CF2-),0.12606,0.2301,0.21,2.16282E-12,94,2.16282E-12,27,2.16282E-12,8,5.14248E-15,10,2.60107E-15,6,2.12667E-15,5,
3-Fluoro-1-propene,818-92-8,Allyl fluoride,CH2=CHCH2F,,,0.05947,,,,,,,,,,,,,
1-Fluorohexane,373-14-8,,n-C6H13F,,,0.04136,,,,,,,,,,,,,
Fluorobenzene,462-06-6,,C6H5-F,,,0.06501,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Chlorocarbons and Hydrochlorocarbons,,,,,,,,,,,,,,,,,,,
1:1:1-Trichloroethane,71-55-6,Methyl chloroform,CH3CCl3,0.1334,5,0.06454,1.33965E-11,585,1.36464E-11,169,1.36464E-11,51,1.02803E-13,190,1.70399E-14,37,1.36807E-14,33,
Tetrachloromethane,56-23-5,Carbon tetrachloride,CCl4,0.15381,32,0.16616,9.06339E-11,3958,1.86453E-10,2312,1.95021E-10,724,2.04335E-12,3775,9.61009E-13,2108,3.64951E-13,880,
Chloromethane,74-87-3,Methyl chloride,CH3Cl,0.05049,0.9,0.00466,4.6816E-13,20,4.6816E-13,6,4.6816E-13,2,1.21499E-15,2,5.6461E-16,1,4.61578E-16,1,
Dichloromethane,75-09-2,Methylene chloride,CH2Cl2,0.08493,0.4932,0.02882,9.43951E-13,41,9.43951E-13,12,9.43951E-13,4,2.3161E-15,4,1.13647E-15,2,9.29156E-16,2,
Trichloromethane,67-66-3,Chloroform,CHCl3,0.11937,0.5014,0.07357,1.74311E-12,76,1.74311E-12,22,1.74311E-12,6,4.28139E-15,8,2.0987E-15,5,1.71585E-15,4,
Chloroethane,75-00-3,,CH3CH2Cl,0.06452,0.1315,0.00354,4.07005E-14,2,4.07005E-14,1,4.07005E-14,0,9.57171E-17,0,4.89276E-17,0,4.00044E-17,0,
1:1-Dichloroethane,75-34-3,,CH3CHCl2,,,0.02846,,,,,,,,,,,,,
1:2-Dichloroethane,107-06-2,,CH2ClCH2Cl,0.09896,0.2247,0.00859,1.10041E-13,5,1.10041E-13,1,1.10041E-13,0,2.61481E-16,0,1.32336E-16,0,1.082E-16,0,
1:1:2-Trichloroethane,79-00-5,,CH2ClCHCl2,,,0.04955,,,,,,,,,,,,,
1:1:1:2-Tetrachloroethane,630-20-6,,CH2ClCCl3,,,0.1028,,,,,,,,,,,,,
